ID;Prioridade;Num.Recup.;Cliente;Designação;Abertura;CF Exec.;Resp.;Técnico;Cluster;Cidade;Region;Type
1;11270;REC-165688/2026;ADVENTISTA;VLN/VRN/7521011100;19/03/2026 10:49;RT/FSA / /NOR/AD;E;;BAHIA/SERGIPE;FEIRA DE SANTANA;FEIRA DE SANTANA;Retirada (RT)
2;9860;REC-165742/2026;ARQ SAO LUIS;9833134160;19/03/2026 10:58;RT/SLS /CE /NET/AD;C;;NORTE;SÃO LUIS;SÃO LUIS;Retirada (RT)
3;4870;REC-177929/2026;SAMSUNG ELET;VLN/PVN/9240091000;25/03/2026 09:59;RT/MNS /NO /NET/FO;C;;NORTE;MANAUS;MANAUS;Retirada (RT)
4;4360;REC-178644/2026;C A MODAS;2121250020;25/03/2026 13:52;RT/RJO /NO3/PCS/FO;E;;RIO DE JANEIRO;NORTE 3;NORTE 3;Retirada (RT)
5;4120;REC-173090/2026;G3S SUCATAS;DOS/IP/01367;23/03/2026 11:49;RT/CPE /CO /NET/FO;C;;CENTRO OESTE;CAMPO GRANDE;CAMPO GRANDE;Retirada (RT)
6;4020;REC-173337/2026;ECT;CFRA/IP/00129;23/03/2026 13:03;RT/CBA /CO /NET/FO;E;;CENTRO OESTE;CUIABA;CUIABA;Retirada (RT)
7;3790;REC-174247/2026;BASA;VLN/PVN/9221233999;23/03/2026 17:34;RT/MNS /NO /NET/FO;E;;NORTE;MANAUS;MANAUS;Retirada (RT)
8;3360;REC-178067/2026;METALLOUCA;8321021129;25/03/2026 10:35;RT/JPA /NE /NET/AD;E;;NORDESTE;JOÃO PESSOA;JOÃO PESSOA;Retirada (RT)
9;2820;REC-175671/2026;JAD LOG LTD 35;VIA/IP/00414;24/03/2026 11:25;RT/VTA /MTS/FFA/FO;C;;ESPIRITO SANTO;VITORIA;VITORIA;Retirada (RT)
10;2620;REC-175977/2026;ECT;CZN/IP/00129;24/03/2026 13:28;RT/CBA /CO /NET/FO;E;;CENTRO OESTE;CUIABA;CUIABA;Retirada (RT)
11;2440;REC-176493/2026;ECT;BRK/IP/00109;24/03/2026 16:10;RT/FLA /CE /NET/FO;C;;NORDESTE;FORTALEZA;FORTALEZA;Retirada (RT)
12;2440;REC-176283/2026;HOROS QUIMICA;9233016750;24/03/2026 15:10;RT/MNS /NO /NET/FO;C;;NORTE;MANAUS;MANAUS;Retirada (RT)
13;2140;REC-177137/2026;CEF;MNS/IP/08454;24/03/2026 22:43;RT/MNS /NO /NET/FO;C;;NORTE;MANAUS;MANAUS;Retirada (RT)
14;1720;REC-178604/2026;ITAU;RJO/IP/42755;25/03/2026 13:39;RT/RJO /NO1/NET/FO;E;;RIO DE JANEIRO;NORTE 1;NORTE 1;Retirada (RT)
15;1680;REC-178295/2026;S.PEDRO;9221216060;25/03/2026 11:42;RT/MNS /NO /NET/FO;E;;NORTE;MANAUS;MANAUS;Retirada (RT)
16;1680;REC-177576/2026;DASA_1;RJO/IP/37928;25/03/2026 07:44;RT/RJO /NO3/PCS/FO;E;F101976;RIO DE JANEIRO;NORTE 3;NORTE 3;Retirada (RT)
17;1620;REC-177617/2026;C A MODAS;RJO/IP/41842;25/03/2026 08:14;RT/RJO /NO3/PCS/FO;E;;RIO DE JANEIRO;NORTE 3;NORTE 3;Retirada (RT)
18;1620;REC-177469/2026;TESA_SA;RJO KD9/RJO LGS/DP*V/0001;25/03/2026 05:43;RT/RJO /NO3/PCS/FO;E;;RIO DE JANEIRO;NORTE 3;NORTE 3;Retirada (RT)
19;1500;REC-179002/2026;TELMEX BRASIL;VGA/IP/02681;25/03/2026 15:41;RC/VGA /TG /NET/FO;E;;MINAS GERAIS;VARGINHA;VARGINHA;Retirada (RT)
